name,rating,average_price,average _delivery_time,location,cuisine,phone,features
F.O.I,4.2,100,33,Indore,Fast Food,+91 997-598-5078,"Live Music, Takeaway Available, Outdoor Seating, AC"
F.O.I Food Of Indians,4,200,36,Jodhpur,Street Food,+91 742-616-7803,"Parking, Home Delivery"
F.R.I.E.N.D.S Cafe,3.7,100,32,Durgapur,Fast Food,+91 783-495-6004,"WiFi, AC"
F.R.I.E.N.D.S Cafe,3.7,250,33,Patna,Fast Food,+91 783-281-5832,"Outdoor Seating, Takeaway Available"
F2 Biryani,3.8,150,26,Nellore,"South Indian, Biryani",+91 940-113-5983,"WiFi, Live Music"
F2 Food Factory,3.9,100,33,Salem,Fast Food,+91 723-840-9424,"Live Music, AC"
F3 Manor Food Plaza,2.8,150,15,Vijayawada,"Fast Food, Street Food",+91 969-610-3125,"WiFi, Parking, Takeaway Available"
F5 Pure Veg Fast Food,3.9,250,43,Kharagpur,"North Indian, Fast Food, Street Food",+91 958-398-1181,"Takeaway Available, AC"
Fa Yian,4.2,100,27,NCR,Multicuisine,+91 929-459-4525,"Takeaway Available, Parking, WiFi, Home Delivery"
Faasos - Wraps & Rolls,3.6,200,38,Vellore,North Indian,+91 724-356-9215,"AC, Home Delivery, Parking, Outdoor Seating"
Faasos - Wraps & Rolls,3.7,200,38,Nellore,North Indian,+91 939-895-1578,"Outdoor Seating, Takeaway Available"
Faasos - Wraps & Rolls,3.7,250,24,Vijayawada,North Indian,+91 769-686-3388,"Outdoor Seating, WiFi, Parking, AC"
Faasos - Wraps & Rolls,3.8,200,32,Coimbatore,North Indian,+91 746-313-2920,"Takeaway Available, WiFi, AC"
Faasos - Wraps & Rolls,3.8,400,29,Trivandrum,North Indian,+91 862-166-6093,"Live Music, Home Delivery, WiFi, Parking"
Faasos - Wraps & Rolls,3.9,50,22,Thrissur,North Indian,+91 941-141-2353,"Takeaway Available, Parking, Outdoor Seating, WiFi"
Faasos - Wraps & Rolls,3.9,350,28,Mumbai,North Indian,+91 953-935-5242,"WiFi, Parking, AC"
Faasos - Wraps & Rolls,4,100,35,Mangalore,North Indian,+91 998-940-8281,"Outdoor Seating, AC"
Faasos - Wraps & Rolls,4,150,19,Patiala,North Indian,+91 868-683-3323,"WiFi, Live Music, Home Delivery, Takeaway Available"
Faasos - Wraps & Rolls,4,150,25,Palakkad,North Indian,+91 724-287-7485,"Home Delivery, Takeaway Available, Live Music, WiFi"
Faasos - Wraps & Rolls,4,150,31,Ludhiana,North Indian,+91 974-788-9498,"Takeaway Available, WiFi, Parking"
Faasos - Wraps & Rolls,4,200,31,Puducherry,North Indian,+91 877-945-3138,"Live Music, Home Delivery"
Faasos - Wraps & Rolls,4,300,31,Tirunelveli,North Indian,+91 822-661-7159,"Home Delivery, Parking"
Faasos - Wraps & Rolls,4.1,100,23,Aligarh,North Indian,+91 984-744-9410,"Parking, Live Music, Takeaway Available, WiFi"
Faasos - Wraps & Rolls,4.1,100,25,Udaipur,North Indian,+91 834-241-8677,"AC, Live Music"
Faasos - Wraps & Rolls,4.1,150,22,Salem,North Indian,+91 917-624-3547,"Live Music, Takeaway Available, Parking"
Faasos - Wraps & Rolls,4.1,150,27,Madurai,North Indian,+91 873-894-7856,"AC, WiFi"
Faasos - Wraps & Rolls,4.1,150,28,Ahmedabad,North Indian,+91 943-171-2030,"Home Delivery, Takeaway Available"
Faasos - Wraps & Rolls,4.1,200,30,Belgaum,North Indian,+91 793-597-9458,"Live Music, Home Delivery"
Faasos - Wraps & Rolls,4.1,200,41,Surat,North Indian,+91 963-635-1945,"AC, Home Delivery"
Faasos - Wraps & Rolls,4.1,250,31,Hyderabad,North Indian,+91 911-991-6972,"WiFi, Live Music, AC"
Faasos - Wraps & Rolls,4.1,300,31,Goa,North Indian,+91 836-324-9810,"Takeaway Available, AC, Live Music"
Faasos - Wraps & Rolls,4.2,50,31,Vadodara,North Indian,+91 910-750-2257,"Takeaway Available, Outdoor Seating"
Faasos - Wraps & Rolls,4.2,50,37,Agra,North Indian,+91 770-928-3105,"Home Delivery, Outdoor Seating, Parking, WiFi"
Faasos - Wraps & Rolls,4.2,150,22,Guntur,North Indian,+91 844-699-5742,"Takeaway Available, Parking, AC"
Faasos - Wraps & Rolls,4.2,150,30,Meerut,North Indian,+91 795-593-5130,"Outdoor Seating, WiFi, Home Delivery, AC"
Faasos - Wraps & Rolls,4.2,150,38,Guwahati,North Indian,+91 749-180-4862,"AC, WiFi, Live Music, Home Delivery"
Faasos - Wraps & Rolls,4.2,150,45,Dehradun,North Indian,+91 940-994-4717,"Parking, WiFi"
Faasos - Wraps & Rolls,4.2,200,20,Pune,North Indian,+91 854-738-6284,"Home Delivery, Parking, Live Music"
Faasos - Wraps & Rolls,4.2,200,23,Jamshedpur,Multicuisine,+91 793-494-7066,"Home Delivery, Outdoor Seating, Live Music"
Faasos - Wraps & Rolls,4.2,200,27,Delhi NCR,North Indian,+91 736-679-2137,"Home Delivery, WiFi, Live Music, AC"
Faasos - Wraps & Rolls,4.2,200,35,Chennai,North Indian,+91 986-743-8398,"Home Delivery, AC, Live Music"
Faasos - Wraps & Rolls,4.2,250,23,Amritsar,North Indian,+91 707-397-6498,"Live Music, WiFi"
Faasos - Wraps & Rolls,4.2,250,24,Nashik,North Indian,+91 792-420-3432,"Live Music, Parking, Takeaway Available"
Faasos - Wraps & Rolls,4.2,300,35,Mysore,North Indian,+91 753-231-7149,"WiFi, Live Music"
Faasos - Wraps & Rolls,4.2,350,23,Bhopal,North Indian,+91 895-807-9500,"Parking, Home Delivery, Takeaway Available"
Faasos - Wraps & Rolls,4.2,350,30,NCR,North Indian,+91 956-516-8552,"WiFi, AC, Outdoor Seating, Parking"
Faasos - Wraps & Rolls,4.2,400,23,Nagpur,North Indian,+91 795-354-4274,"WiFi, Outdoor Seating, Live Music, Home Delivery"
Faasos - Wraps & Rolls,4.2,450,38,Indore,North Indian,+91 752-736-8149,"Home Delivery, Takeaway Available"
Faasos - Wraps & Rolls,4.3,100,21,Allahabad,North Indian,+91 860-475-6993,"WiFi, Outdoor Seating"
Faasos - Wraps & Rolls,4.3,100,28,Jalandhar,North Indian,+91 706-462-3217,"Home Delivery, AC, Live Music"
Faasos - Wraps & Rolls,4.3,100,29,Kanpur,North Indian,+91 927-499-2692,"Live Music, Outdoor Seating, Home Delivery"
Faasos - Wraps & Rolls,4.3,100,31,Lucknow,North Indian,+91 974-417-2440,"Parking, Home Delivery, AC, Outdoor Seating"
Faasos - Wraps & Rolls,4.3,100,33,Bangalore,North Indian,+91 929-504-5925,"Parking, Home Delivery, AC, WiFi"
Faasos - Wraps & Rolls,4.3,150,25,Chandigarh,North Indian,+91 850-869-5019,"Outdoor Seating, Live Music"
Faasos - Wraps & Rolls,4.3,150,29,Jaipur,North Indian,+91 772-150-1275,"Parking, AC"
Faasos - Wraps & Rolls,4.3,150,32,Jodhpur,North Indian,+91 885-621-1019,"AC, Parking, Takeaway Available, Home Delivery"
Faasos - Wraps & Rolls,4.3,200,29,Varanasi,North Indian,+91 864-545-1535,"Parking, WiFi"
Faasos - Wraps & Rolls,4.3,200,35,Jabalpur,North Indian,+91 988-466-3351,"WiFi, Takeaway Available, Home Delivery, Outdoor Seating"
Faasos - Wraps & Rolls,4.3,250,34,Patna,North Indian,+91 914-421-9131,"Home Delivery, Outdoor Seating, Takeaway Available, Parking"
Faasos - Wraps & Rolls,4.3,350,31,Raipur,North Indian,+91 725-747-2361,"WiFi, AC"
Faasos - Wraps & Rolls,4.3,500,34,Kolkata,North Indian,+91 986-694-5057,"AC, Outdoor Seating, Home Delivery, Parking"
Faasos - Wraps & Rolls,4.4,100,38,Trichy,North Indian,+91 840-738-6295,"Outdoor Seating, Home Delivery"
Faasos - Wraps & Rolls,4.4,150,27,Kota,North Indian,+91 963-500-9158,"AC, Home Delivery, Outdoor Seating"
Faasos - Wraps & Rolls,4.4,250,34,Ranchi,North Indian,+91 729-502-2607,"Home Delivery, Outdoor Seating, WiFi, AC"
Faasos - Wraps & Rolls,4.5,300,18,Bareilly,North Indian,+91 902-464-8331,"WiFi, AC, Live Music"
Faasos Signature Wraps and Rolls,3.4,150,33,Nellore,Fast Food,+91 701-558-9841,"Parking, AC, Home Delivery, WiFi"
Faasos Signature Wraps and Rolls,3.4,150,34,Salem,Fast Food,+91 908-827-1723,"Takeaway Available, Parking, Outdoor Seating"
Faasos Signature Wraps and Rolls,3.4,250,30,Thrissur,Fast Food,+91 773-503-2198,"WiFi, Outdoor Seating, AC, Home Delivery"
Faasos Signature Wraps and Rolls,3.6,400,21,Vijayawada,Fast Food,+91 822-552-7851,"Home Delivery, WiFi, Live Music"
Faasos Signature Wraps and Rolls,3.6,400,41,Surat,Fast Food,+91 988-906-4195,"Outdoor Seating, Home Delivery, Takeaway Available, WiFi"
Faasos Signature Wraps and Rolls,3.7,150,29,Vadodara,Fast Food,+91 787-746-6971,"Parking, Live Music"
Faasos Signature Wraps and Rolls,3.7,200,38,Mysore,Fast Food,+91 960-392-4648,"Parking, WiFi"
Faasos Signature Wraps and Rolls,3.8,300,27,Patiala,Fast Food,+91 705-407-8356,"Live Music, Parking, AC, Outdoor Seating"
Faasos Signature Wraps and Rolls,3.8,300,28,Indore,Fast Food,+91 848-402-2574,"Home Delivery, WiFi, AC"
Faasos Signature Wraps and Rolls,3.9,150,42,Vellore,Fast Food,+91 871-446-9879,"Home Delivery, WiFi, Live Music"
Faasos Signature Wraps and Rolls,3.9,200,32,Ludhiana,Fast Food,+91 781-474-6455,"AC, Parking, WiFi, Outdoor Seating"
Faasos Signature Wraps and Rolls,3.9,250,22,Allahabad,Fast Food,+91 993-486-5762,"Outdoor Seating, Takeaway Available, AC"
Faasos Signature Wraps and Rolls,3.9,250,27,Madurai,Fast Food,+91 964-918-8431,"Takeaway Available, Outdoor Seating"
Faasos Signature Wraps and Rolls,3.9,250,31,Goa,Fast Food,+91 773-992-7694,"Outdoor Seating, Home Delivery"
Faasos Signature Wraps and Rolls,3.9,250,33,Trivandrum,Fast Food,+91 816-444-7348,"Takeaway Available, Parking"
Faasos Signature Wraps and Rolls,4,150,28,Aligarh,Fast Food,+91 886-477-5131,"WiFi, Takeaway Available, Parking"
Faasos Signature Wraps and Rolls,4,150,38,Coimbatore,Fast Food,+91 909-195-7449,"Parking, AC"
Faasos Signature Wraps and Rolls,4,250,34,NCR,Fast Food,+91 950-899-6057,"AC, Takeaway Available, Parking, Home Delivery"
Faasos Signature Wraps and Rolls,4,300,27,Pune,Fast Food,+91 859-101-2186,"Live Music, Parking, WiFi, Takeaway Available"
Faasos Signature Wraps and Rolls,4,400,27,Guntur,Fast Food,+91 911-119-8529,"Takeaway Available, Home Delivery, Parking, Outdoor Seating"
Faasos Signature Wraps and Rolls,4.1,100,28,Palakkad,Fast Food,+91 810-937-1561,"Outdoor Seating, Live Music"
Faasos Signature Wraps and Rolls,4.1,100,45,Dehradun,Fast Food,+91 775-858-8898,"Live Music, Takeaway Available, Home Delivery, AC"
Faasos Signature Wraps and Rolls,4.1,150,33,Chandigarh,Fast Food,+91 757-610-5932,"Home Delivery, Outdoor Seating, Parking"
Faasos Signature Wraps and Rolls,4.1,150,35,Kanpur,Fast Food,+91 825-431-9234,"AC, Takeaway Available, Parking"
Faasos Signature Wraps and Rolls,4.1,250,31,Belgaum,Fast Food,+91 814-831-6779,"Parking, Home Delivery"
Faasos Signature Wraps and Rolls,4.1,300,31,Meerut,Fast Food,+91 915-254-9979,"WiFi, Outdoor Seating, Home Delivery, Takeaway Available"
Faasos Signature Wraps and Rolls,4.2,150,23,Jalandhar,Fast Food,+91 725-360-3503,"Live Music, Home Delivery, AC, WiFi"
Faasos Signature Wraps and Rolls,4.2,150,26,Bhopal,Fast Food,+91 981-719-6015,"Live Music, Takeaway Available"
Faasos Signature Wraps and Rolls,4.2,200,25,Lucknow,Fast Food,+91 934-868-5197,"Takeaway Available, Outdoor Seating, WiFi"
Faasos Signature Wraps and Rolls,4.2,250,30,Raipur,Fast Food,+91 853-837-3064,"Live Music, AC, Takeaway Available"
Faasos Signature Wraps and Rolls,4.2,300,29,Varanasi,Fast Food,+91 948-949-2003,"Outdoor Seating, Live Music, WiFi, Home Delivery"
Faasos Signature Wraps and Rolls,4.3,100,27,Udaipur,Fast Food,+91 893-832-4943,"Home Delivery, AC, Outdoor Seating, Takeaway Available"
Faasos Signature Wraps and Rolls,4.3,100,35,Jabalpur,Fast Food,+91 715-798-9954,"Parking, Outdoor Seating, WiFi, Live Music"
Faasos Signature Wraps and Rolls,4.3,100,35,Puducherry,Fast Food,+91 924-793-2873,"Outdoor Seating, WiFi, Parking, Live Music"
Faasos Signature Wraps and Rolls,4.3,100,38,Mangalore,Fast Food,+91 879-899-5184,"Live Music, Takeaway Available"
Faasos Signature Wraps and Rolls,4.3,100,42,Guwahati,Fast Food,+91 776-832-7989,"Home Delivery, Takeaway Available, Outdoor Seating, AC"
Faasos Signature Wraps and Rolls,4.3,100,46,Kolkata,Fast Food,+91 753-496-5099,"Live Music, Outdoor Seating, AC"
Faasos Signature Wraps and Rolls,4.3,150,45,Trichy,Fast Food,+91 936-453-9861,"Parking, Outdoor Seating, WiFi, Home Delivery"
Faasos Signature Wraps and Rolls,4.3,200,28,Bareilly,Fast Food,+91 962-357-6960,"Outdoor Seating, AC, Takeaway Available"
Faasos Signature Wraps and Rolls,4.3,200,32,Tirunelveli,Fast Food,+91 723-920-1946,"Takeaway Available, AC, Home Delivery, Outdoor Seating"
Faasos Signature Wraps and Rolls,4.3,200,41,Chennai,Fast Food,+91 735-262-3481,"Parking, AC, Outdoor Seating, WiFi"
Faasos Signature Wraps and Rolls,4.3,250,21,Nashik,Fast Food,+91 843-199-6798,"Home Delivery, Takeaway Available"
Faasos Signature Wraps and Rolls,4.4,250,35,Jodhpur,Fast Food,+91 734-264-9112,"Outdoor Seating, Takeaway Available, AC"
Faasos Signature Wraps and Rolls,4.5,150,29,Kota,Fast Food,+91 782-266-5144,"Outdoor Seating, Home Delivery, Live Music, Parking"
Fabbrica,4,200,45,Kolkata,Multicuisine,+91 869-164-5645,"Outdoor Seating, AC, Live Music, Parking"
Fabelle Chocolates,4,100,33,Coimbatore,Multicuisine,+91 976-860-3144,"Outdoor Seating, Live Music, WiFi"
Fabelle Chocolates,4,150,36,Visakhapatnam,Bakery,+91 775-241-6753,"Home Delivery, Takeaway Available, Parking, Live Music"
Fabelle Chocolates,4,200,35,Hyderabad,Bakery,+91 774-298-6470,"Live Music, Outdoor Seating, Takeaway Available, Home Delivery"
Fabelle Chocolates,4.3,350,45,Chennai,Multicuisine,+91 753-232-9656,"WiFi, Home Delivery, Live Music, Outdoor Seating"
Fabelle Chocolates - ITC Grand Central,4.7,200,25,Mumbai,Bakery,+91 893-194-5824,"Outdoor Seating, WiFi, Home Delivery, Live Music"
Fabelle Chocolates - ITC Maurya,4.2,150,45,NCR,Bakery,+91 943-517-3832,"Home Delivery, Live Music, Outdoor Seating"
Fabelle Chocolates - ITC Sonar,4.4,250,48,Kolkata,Bakery,+91 821-494-8323,"Parking, Outdoor Seating, WiFi"
Fabulous Lyfe By Soul Garden Bistro,3.4,450,50,Chennai,"North Indian, Fast Food",+91 766-680-1919,"Outdoor Seating, AC"
Face Food Kitchen,3.8,200,49,Guwahati,Multicuisine,+91 703-448-9542,"WiFi, Takeaway Available, Outdoor Seating"
Face To Face,3.6,200,44,Moradabad,Bakery,+91 757-662-1517,"Outdoor Seating, AC, Live Music, Parking"
Face To Face,3.9,100,31,Moradabad,Street Food,+91 909-299-4215,"WiFi, Live Music, AC"
Facebook Point,3.8,150,37,Kanpur,"South Indian, North Indian, Fast Food",+91 826-460-2699,"WiFi, Takeaway Available, Live Music, AC"
Facing East,4.1,400,45,Mumbai,Multicuisine,+91 712-153-6220,"Live Music, Home Delivery"
Fagito,3.8,300,41,Bhopal,Multicuisine,+91 917-170-4782,"WiFi, Home Delivery"
Fagun Restaurant,4.1,200,62,Indore,"North Indian, Fast Food, Biryani",+91 833-244-9820,"Home Delivery, Parking"
Faheem Muradabadi Chicken Biryani Centre,4,150,36,Lucknow,Multicuisine,+91 806-119-2960,"Outdoor Seating, Live Music, WiFi"
Fairyland Clarks Inn,4,350,47,Bhopal,"North Indian, Fast Food",+91 750-227-6385,"Parking, Live Music, Outdoor Seating, WiFi"
Fakhri Faluda Centre,4.5,50,26,Jamnagar,Multicuisine,+91 894-733-7078,"Outdoor Seating, Parking, WiFi, Takeaway Available"
Fakira Chanachur,4.3,200,23,Jamshedpur,Street Food,+91 805-866-2637,"AC, Outdoor Seating, Live Music"
Fakira Chanachur,4.4,100,18,Jamshedpur,"Fast Food, Street Food",+91 898-764-4489,"WiFi, Outdoor Seating, Live Music, AC"
Fakira's Kitchen,3.8,200,38,Dhanbad,"North Indian, Fast Food, Bakery",+91 898-421-6662,"Parking, Home Delivery, Outdoor Seating, AC"
Fakkad Foods,4.3,50,33,Pune,"South Indian, Fast Food, Street Food",+91 710-255-9204,"Outdoor Seating, Home Delivery"
Falafel Lovers,3.9,50,43,Surat,Fast Food,+91 989-924-8691,"Live Music, Home Delivery, Parking, Takeaway Available"
Falafel Lovers,4.1,150,27,Vadodara,Fast Food,+91 706-416-5881,"Outdoor Seating, AC"
Falafel's,4,150,46,Mumbai,Multicuisine,+91 720-498-3152,"Live Music, Home Delivery"
Falahaar,4.4,300,32,Pune,Street Food,+91 970-365-8002,"Parking, Home Delivery, Outdoor Seating, AC"
Falahaar & Kota Kachori,4,100,55,Bangalore,"North Indian, Fast Food",+91 752-435-9505,"Home Delivery, Takeaway Available"
Falahaar Vyanjan & Thali,3.7,100,20,Jaipur,North Indian,+91 990-542-4082,"WiFi, Home Delivery, Parking, AC"
Falahari Junction,4.1,100,50,Bhopal,North Indian,+91 926-760-6502,"Outdoor Seating, AC, Parking"
Falam,4,100,39,Kolkata,Fast Food,+91 711-556-7681,"Parking, Outdoor Seating, AC"
Falani Mastani,4.1,100,26,Nagpur,Multicuisine,+91 913-553-1800,"Home Delivery, Takeaway Available, Live Music, AC"
Falooda,4.1,300,34,Trichy,Fast Food,+91 853-625-9657,"Outdoor Seating, Parking"
Falooda And Ice Cream Parlour,3.1,250,14,Kota,Multicuisine,+91 780-348-7783,"Outdoor Seating, AC, Takeaway Available"
Falooda Corner,3.5,100,20,Bhubaneswar,Multicuisine,+91 747-105-4253,"Parking, Outdoor Seating, Takeaway Available"
Falooda House,4,200,28,Jodhpur,North Indian,+91 806-702-1748,"Takeaway Available, Home Delivery, Parking"
Falooda Hut,4.2,200,39,Coimbatore,Multicuisine,+91 717-759-7703,"WiFi, Outdoor Seating, Parking, AC"
Falooda King,3.1,50,33,Moradabad,"Fast Food, Street Food",+91 779-829-9419,"AC, Home Delivery, Live Music"
Falooda King,4,150,26,Madurai,Multicuisine,+91 871-665-4721,"Outdoor Seating, Home Delivery, Parking, Live Music"
Falooda Nations,4,200,23,Vijayawada,Multicuisine,+91 977-672-1871,"AC, Outdoor Seating, Parking, Home Delivery"
Faltu Restaurant,3.4,100,28,Cuttack,"North Indian, Biryani",+91 775-785-1613,"Live Music, WiFi, Parking"
Faltu Tiffin & Fast Food,3.3,100,29,Cuttack,"South Indian, North Indian, Biryani",+91 876-124-9025,"Home Delivery, WiFi, AC, Live Music"
Fame Pizza 86 & Restaurant,3.6,200,38,Jalandhar,Fast Food,+91 782-989-7565,"Parking, Live Music"
Family Bakers,3.4,100,43,Kanpur,Bakery,+91 864-877-4984,"Live Music, WiFi"
Family Chinese Corner,3.5,100,39,Surat,Multicuisine,+91 792-791-5448,"WiFi, AC"
Family Food Co.,3.8,300,32,Patiala,"North Indian, Biryani",+91 934-243-4093,"Outdoor Seating, WiFi, Home Delivery"
Family Food's,3.7,100,28,Cuttack,North Indian,+91 843-934-1710,"Takeaway Available, AC, Outdoor Seating, WiFi"
Family Paratha House,4.1,100,24,Moradabad,North Indian,+91 749-780-1095,"Live Music, Takeaway Available, WiFi, Home Delivery"
Family Paratha House,4.1,200,12,Moradabad,North Indian,+91 983-952-9364,"AC, Takeaway Available, Outdoor Seating"
Family Pizza & Burger,4,150,40,Kanpur,"Fast Food, Street Food",+91 881-805-6908,"Takeaway Available, Parking, AC"
Family Restaurant & Bakery Shop,4,150,56,Kanpur,"South Indian, North Indian",+91 869-358-8113,"Home Delivery, Outdoor Seating, Live Music"
Family Tree,3.6,150,52,Mumbai,North Indian,+91 830-236-8657,"Live Music, AC"
Famish,4,100,34,Kanpur,Fast Food,+91 877-329-7571,"WiFi, Takeaway Available, Live Music"
Famliy Restaurant,2.5,200,31,Chandigarh,"North Indian, Biryani",+91 972-664-4438,"Outdoor Seating, AC"
Famoso,4.2,200,29,Vadodara,Fast Food,+91 758-644-2413,"Takeaway Available, Live Music"
Famous Aalupuri And Khawsa,3.5,150,28,Surat,"North Indian, Street Food",+91 805-110-9187,"AC, Home Delivery"
Famous Biriyani,4.3,100,27,Madurai,"North Indian, Biryani",+91 883-350-3923,"Outdoor Seating, Parking"
Famous Frankie,3.4,100,30,Surat,Fast Food,+91 988-597-6784,"WiFi, AC, Takeaway Available, Outdoor Seating"
Famous Frankie,3.4,100,42,Surat,Fast Food,+91 916-269-8935,"Takeaway Available, WiFi, AC, Outdoor Seating"
Famous Ice Creams,4.1,150,25,Hyderabad,Multicuisine,+91 830-588-8960,"Takeaway Available, Live Music, WiFi, Parking"
Famous Jigarthanda,3.1,250,29,Trichy,Multicuisine,+91 799-864-8561,"Home Delivery, Parking"
Famous Jigarthanda,3.7,150,28,Coimbatore,Multicuisine,+91 717-431-1006,"Parking, Live Music, Outdoor Seating, Home Delivery"
Famous Jigarthanda,4,200,23,Madurai,Multicuisine,+91 743-654-8507,"Live Music, Takeaway Available, WiFi"
Famous Jigarthanda,4,250,20,Madurai,Multicuisine,+91 900-999-4700,"Outdoor Seating, Parking, WiFi"
Famous Jigarthanda,4.1,300,25,Coimbatore,Multicuisine,+91 973-893-9603,"Parking, Outdoor Seating"
Famous Jigarthanda,4.5,100,23,Madurai,Multicuisine,+91 858-891-9521,"Live Music, Parking, AC, Takeaway Available"
Famous Jigarthanda,4.5,250,21,Madurai,Multicuisine,+91 887-121-5205,"Home Delivery, Live Music, WiFi"
Famous Kolkata Kathi Roll,3.3,450,34,Ludhiana,Multicuisine,+91 818-208-3409,"AC, Takeaway Available"
Famous Kulfi,4.4,50,21,Nashik,Multicuisine,+91 819-804-2225,"Outdoor Seating, AC, Live Music, Takeaway Available"
Famous Lithi Chokha - Pure Veg,4.3,50,19,Dhanbad,Multicuisine,+91 711-633-1051,"Home Delivery, Outdoor Seating, Takeaway Available, Parking"
Famous Neelkanth Juice & Ice Cream Parlour,3.9,150,35,Vadodara,Fast Food,+91 833-845-2160,"Home Delivery, Parking, Outdoor Seating, AC"
Famous Paratha,3.8,150,20,Gorakhpur,North Indian,+91 872-781-3935,"Outdoor Seating, Home Delivery, Live Music"
Famous Restaurant,4.2,150,46,Mumbai,"North Indian, Fast Food, Biryani",+91 924-615-7949,"Parking, Live Music, Outdoor Seating"
Famous Sev Usal,4.2,150,26,Vadodara,Multicuisine,+91 775-108-8526,"AC, Takeaway Available, Parking"
Famous Sweets And Bakers,3.9,100,49,Hyderabad,"Street Food, Bakery",+91 995-645-9766,"Home Delivery, AC, Parking"
Fams Food,4.2,50,39,Allahabad,"South Indian, North Indian, Fast Food, Biryani",+91 896-994-6939,"Live Music, AC, Takeaway Available"
Fanchaistic Chai,4.2,150,33,Chandigarh,"Fast Food, Street Food",+91 854-200-3524,"Takeaway Available, Parking, WiFi, Live Music"
Fancy Ice Cream,4.2,250,20,Hyderabad,Multicuisine,+91 886-519-4836,"Live Music, Takeaway Available, Parking, AC"
Fandome 2D Eatery And Coffee Bar,4.1,50,49,Cuttack,Fast Food,+91 703-599-8391,"AC, Home Delivery, Parking"
Fannito Pizza,3.9,150,27,Nashik,Fast Food,+91 937-868-5344,"WiFi, Live Music, Parking, Home Delivery"
Fanoos Hotel,3.1,300,36,Mysore,"North Indian, Biryani",+91 795-829-9303,"AC, Live Music, Takeaway Available, Home Delivery"
Fanooz Restaurant & Banquet,4,300,43,Hyderabad,Biryani,+91 865-374-6652,"Parking, Outdoor Seating, Live Music"
Fantastic Food Story,4.1,200,31,Kolkata,North Indian,+91 845-302-9509,"AC, Live Music, Parking"
Fantasy Bakery & Cafe,4.2,100,26,Indore,"North Indian, Fast Food, Bakery",+91 733-992-5553,"Home Delivery, Live Music"
Fantasy Bakery N Patisserie,4.1,100,29,Pune,Bakery,+91 713-715-4061,"AC, Live Music"
Fantasy Bakery Shop,4.4,150,17,Bhopal,Bakery,+91 920-650-2871,"AC, Takeaway Available, Parking, Outdoor Seating"
Fantasy Chinese Chaska,3.8,100,25,Ujjain,Fast Food,+91 710-466-2599,"WiFi, Home Delivery"
Far East,3.9,100,46,Chennai,Multicuisine,+91 885-432-3322,"Home Delivery, AC"
Fareed Hotel Tandoori Point,3.2,150,35,Bhopal,"North Indian, Fast Food",+91 820-389-8329,"AC, Outdoor Seating, Takeaway Available"
Fari Biryani Affairs,4.1,200,42,Allahabad,"North Indian, Biryani",+91 788-728-1450,"WiFi, Live Music, Outdoor Seating"
Farki,4.1,150,20,Vadodara,Multicuisine,+91 869-621-6129,"Live Music, Takeaway Available, Outdoor Seating"
Farki,4.4,400,22,Vadodara,Multicuisine,+91 700-590-4314,"Live Music, Outdoor Seating"
Farki,4.5,150,17,Ahmedabad,Multicuisine,+91 936-756-4125,"Live Music, Takeaway Available, WiFi, AC"
Farm Bowl By Urbankisaan,4.1,100,52,Hyderabad,Multicuisine,+91 813-659-4285,"Takeaway Available, Home Delivery"
Farm Core,4.1,50,28,NCR,Fast Food,+91 719-371-3114,"Live Music, Home Delivery, AC, Parking"
Farm Fresh,3.5,150,27,Junagadh,North Indian,+91 874-221-3472,"Parking, WiFi"
Farm Fresh Meat Specialities,3.7,350,29,Ludhiana,North Indian,+91 899-239-1144,"Outdoor Seating, Parking"
Farm House Europe,3.8,100,33,Vadodara,Fast Food,+91 705-482-9779,"AC, Parking, Live Music, Takeaway Available"
Farm Krisp,4,100,46,Chandigarh,Multicuisine,+91 795-643-3241,"WiFi, Parking, Outdoor Seating, Live Music"
Farm To Flame,3.2,150,52,Raipur,"North Indian, Street Food",+91 831-864-2569,"AC, Outdoor Seating"
Farm To Fork,3.9,150,56,Ujjain,"North Indian, Fast Food, Street Food",+91 852-715-3662,"Live Music, Home Delivery"
Farmaish Hotel Rajdhani,4.1,150,25,Amravati,North Indian,+91 972-953-7225,"Home Delivery, Takeaway Available, AC"
Farmer's Choice,4,150,40,Pune,"North Indian, Biryani",+91 709-264-8977,"WiFi, Takeaway Available"
Farzi Cafe,4,150,43,Jabalpur,"North Indian, Fast Food, Biryani",+91 865-302-7486,"Parking, Outdoor Seating"
Farzi Cafe,4.1,150,32,Ludhiana,Fast Food,+91 869-344-7044,"AC, WiFi"
Farzi Dhaba,4,150,25,Gorakhpur,North Indian,+91 923-554-9428,"Takeaway Available, Live Music, Outdoor Seating"
Farzi Rasoi,4,150,33,Agra,"North Indian, Fast Food",+91 975-650-5447,"Home Delivery, Parking, WiFi"
Fascinate Rolls,4,200,26,Sangli,Fast Food,+91 984-561-5223,"WiFi, AC, Outdoor Seating, Takeaway Available"
Fasoos Frankie & Wraps,3.4,150,34,Vadodara,Multicuisine,+91 856-231-6707,"Outdoor Seating, AC, Live Music, Parking"
Fast And Foodicious,3.4,150,62,Kolkata,"North Indian, Fast Food",+91 924-443-8802,"Outdoor Seating, AC"
Fast Cake & Cafe,4.4,300,27,Mysore,"Street Food, Bakery",+91 805-552-3787,"AC, Takeaway Available"
